ID,Exercise_Name,Print_Name,Description,Form_Instructions,Avoid_Mistake,Video_URL,Primary_Muscles,Secondary_Muscles
1,Glute Bridge March,Glute Bridge March,"Een uitstekende oefening voor het trainen van de billen, hamstrings en rompstabiliteit. Door om en om een leg te heffen, daag je de rotatiestabiliteit van je heupen en core extra uit.","Lig plat op je rug met gebogen knieën en voeten plat op de grond op heupbreedte.|Span je billen aan en duw je heupen omhoog tot je lichaam een rechte lijn vormt van schouders tot knieën.|Houd je heupen stabiel en til om en om een knie omhoog richting je borst in een marcherende beweging.|Zet je voet gecontroleerd terug en herhaal met het andere been, houd je heupen hoog.",Laat je heupen niet naar de grond zakken of zijwaarts kantelen als je één been optilt.,,"Billen, Hamstrings","Core, Onderrug"
2,Air Squat,Air Squat,"Het fundamentele kniebuigpatroon met lichaamsgewicht, ontworpen om uithoudingsvermogen van het onderlichaam, heupmobiliteit en rompstabiliteit op te bouwen.","Sta met je voeten iets breder dan schouderbreedte, tenen licht naar buiten gedraaid.|Houd je borst op en span je core aan, breng je heupen naar achteren alsof je op een stoel gaat zitten.|Duw je knieën naar buiten en laat je heupen zakken tot je dijen parallel zijn aan de vloer.|Duw krachtig door je hielen om terug te keren naar de startpositie.",Laat je knieën niet naar binnen vallen en voorkom dat je hakken van de vloer loskomen.,,"Quadriceps, Billen","Hamstrings, Kuiten, Core"
3,Goblet Squat,Goblet Squat,"Een essentiële oefening voor het onderlichaam die zich richt op de quadriceps, billen en core. Het gewicht aan de voorkant vasthouden verbetert de houding en zorgt voor een grotere squatdiepte.","Houd de kettlebell dicht bij je borst vast aan de handvatten, met je ellebogen omlaag gericht.|Sta met je voeten op schouderbreedte, tenen licht naar buiten en span je core aan.|Breng je heupen naar achteren en buig je knieën om te squatten, terwijl je de knieën naar buiten duwt.|Zak tot je dijen parallel zijn aan de vloer of dieper, duw dan door je hielen om op te staan.",Laat de kettlebell je bovenlichaam niet naar voren trekken; houd je borst op.,https://www.youtube.com/watch?v=M8H8HwVn-w0,"Quadriceps, Billen","Hamstrings, Core, Kuiten"
4,Floor Press,Floor Press,"Een borstpress uitgevoerd vanaf de grond, wat de bewegingsuitslag beperkt om de nadruk te leggen op de borst, voorste schouders en triceps terwijl de schouders worden ontzien.","Lig plat op je rug op de grond, knieën gebogen, voeten plat, met een kettlebell in één hand.|Breng de kettlebell in de rackpositie met je elleboog op de grond in een hoek van 45 graden.|Duw de kettlebell verticaal omhoog richting het plafond tot je arm volledig gestrekt is.|Laat het gewicht gecontroleerd zakken tot je bovenarm weer zachtjes de vloer raakt.",Laat je elleboog niet hard op de grond klappen; controleer de excentrische fase.,,"Borst, Triceps","Schouders, Core"
5,Straight Leg Deadlift,Deadlift met gestrekte benen,"Een heupscharnierbeweging gericht op de achterste keten, specifiek om de hamstrings, billen en onderrug te rekken en te versterken.","Sta met voeten op heupbreedte en houd de kettlebell voor je dijen vast.|Houd je rug plat en je knieën licht gebogen, buig voorover vanuit je heupen om het gewicht te laten zakken.|Duw je heupen naar achteren en laat de kettlebell dicht langs je benen glijden.|Knijp in je billen en breng je heupen weer naar voren om rechtop te gaan staan.",Voorkom dat je rug bol trekt; houd de ruggengraat neutraal en scharnier vanuit de heupen.,,"Hamstrings, Billen, Onderrug","Bovenrug, Core"
6,Single Arm Bent Over Row,Single Arm Bent Over Row,"Een eenzijdige trekbeweging voor het bovenlichaam om rugkracht, lat-ontwikkeling en rompstabiliteit op te bouwen.","Neem een uitvalspas met één voet naar achteren, houd je rug plat en buig voorover vanuit de heupen.|Ondersteun je bovenlichaam door je niet-werkende onderarm op je voorste dij te laten rusten.|Houd de kettlebell in je werkende hand en trek je elleboog omhoog richting je ribbenkast.|Laat het gewicht gecontroleerd zakken tot je arm weer volledig gestrekt is.",Draai je schouders en torso niet open bij het omhoog trekken van het gewicht.,,"Lats, Rhomboïden, Biceps","Bovenrug, Core"
7,Side Lunge,Zijwaartse Lunge,"Een zijwaartse beweging gericht op kracht in één een been, heupmobiliteit en flexibiliteit van de binnenkant van de dijen.","Sta rechtop en houd de kettlebell voor je borst vast aan de handvatten.|Zet een grote stap opzij met één been, duw je heupen naar achteren en buig je werkende knie (andere been blijft recht).|Zet krachtig af met het gebogen been om terug te keren naar de startpositie.",Laat de knie van het gebogen been niet voorbij je tenen schieten of naar binnen knikken.,,"Quadriceps, Billen, Adductoren","Hamstrings, Core"
8,Hardstyle Plank,Hardstyle Plank,"Een intensieve variant van de standaard plank die is ontworpen om maximale spanning in de core, schouderstabiliteit en algehele lichaamsstijfheid te genereren.","Plaats je onderarmen en tenen op de grond, met je lichaam in een strakke rechte lijn.|Trek je ellebogen denkbeeldig naar je tenen en knijp je billen, quads en vuisten zo hard mogelijk samen.|Houd deze maximale spanning gedurende de hele set vast.",Laat je heupen niet doorhangen of juist te ver omhoog steken; behoud een planklijn.,,"Core, Schouders","Billen, Bovenrug"
9,Farmer's Carry,Farmer's Carry,"Een eenvoudige maar krachtige functionele oefening die gripkracht, schouderstabiliteit, lichaamshouding en core-uithoudingsvermogen opbouwt.","Til twee zware kettlebells veilig van de grond met een correcte deadlift-techniek.|Sta rechtop met je schouders naar achteren en beneden, borst op, en knijp stevig in de handvatten.|Loop vooruit met rustige, gecontroleerde stappen en houd je lichaam perfect recht.",Voorkom dat je met je schouders gaan hangen of naar voren leunt; loop met een trotse houding.,,"Gripkracht, Core, Traps","Onderarmen, Bovenrug, Benen"
10,Deficit Push-up,Deficit Push-up,"Een push-up variant waarbij de kettlebell-handvatten worden gebruikt om de handen te verhogen, wat zorgt voor een grotere bewegingsuitslag en diepere stretch in de borst.","Plaats twee kettlebells met de platte kant op de grond op schouderbreedte en pak de handvatten vast.|Neem een sterke plankpositie aan, waarbij je hoofd, heupen en hielen op één lijn liggen.|Laat je borst zakken tot tussen de kettlebell-handvatten, houd je onderarmen verticaal.|Duw jezelf krachtig omhoog tot de armen gestrekt zijn, houd je core constant aangespannen.",Laat je heupen of onderrug niet doorzakken tijdens het zakken; houd je core strak.,,"Borst, Triceps, Schouders","Core, Serratus Anterior"
11,Kettlebell Swing,Kettlebell Swing,"De basis van kettlebell training. Deze explosieve heupscharnierbeweging bouwt krachtige billen, hamstrings en core-kracht op, terwijl het je conditie verbetert.","Sta met je voeten iets breder dan schouderbreedte, buig vanuit je heupen en pak de kettlebell met twee handen vast.|Hike de kettlebell krachtig naar achteren tussen je benen, met een rechte rug.|Strek je heupen explosief, knijp in je billen en swing de kettlebell tot schouderhoogte.|Laat de kettlebell door de zwaartekracht terugvallen en scharnier direct weer vanuit je heupen.","Maak er geen squat van; het is een heupscharnierbeweging waarbij je heupen naar achteren bewegen, niet omlaag.",https://www.youtube.com/watch?v=YSyGqiG4U40,"Hamstrings, Billen","Core, Onderrug, Grip"
12,Suitcase Deadlift,Suitcase Deadlift,Een variant van de deadlift waarbij je het gewicht aan één kant vasthoudt. Dit daagt je zijdelingse rompstabiliteit en gripkracht maximaal uit.,"Sta rechtop met je voeten op heupbreedte en plaats de kettlebell aan de buitenkant van één voet.|Scharnier vanuit je heupen en buig je knieën om het handvat met één hand vast te pakken.|Houd je schouders perfect horizontaal en span je core aan om te voorkomen dat je lichaam zijwaarts kantelt.|Duw door je hielen om rechtop te gaan staan, knijp je billen samen, en laat het gewicht gecontroleerd zakken.",Voorkom dat je torso zijwaarts kantelt; houd je schouders en heupen gedurende de hele beweging recht.,https://www.youtube.com/watch?v=S6V_Z2V9-Z8,"Hamstrings, Billen, Core (Schuine buikspieren)","Gripkracht, Onderrug, Quadriceps"
